Sr_no,Age,Gender,EmploymentStatus,Monthly Household Income,Household Size,Current Residential Area,Type of Residence,Current Residence Duration,Factors Influencing Residential Choice,Transportation Mode,Average Commute Time_1way,Distance traveled_1w,Average weekday trips per person,Travel Purpose,Factors influencing transportation choice
172,26-35 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",5,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Personal Vehicle (Bike),30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
173,18-25 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",5,Developed,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Public Transit (City Bus) ,10-15 minutes ,5-10 km,1-2 trips ,Education,"Cost , Travel time, Convenience , Availability of options"
174,36-45 Years ,Female ,Homemaker,"₹30,001 - ₹50,000 ",5,Developed,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Walking,Less than 10 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
175,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",6,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,1-2 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
176,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",3,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Car) ,Less than 10 minutes ,10-15 km ,1-2 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
177,36-45 Years ,Female ,Employed Full-Time,"₹50,001 - ₹75,000 ",3,Developed,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,1-2 trips ,Work,"Cost , Travel time, Convenience "
178,36-45 Years ,Female ,Business ,"Above ₹75,000 ",5,Developed,Apartment/ flat ,1-3 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,1-2 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
179,18-25 Years ,Male ,Student ,"Below ₹15,000  ",4,Developed,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Shopping ,"Cost , Travel time, Convenience , Availability of Parking , Safety "
180,18-25 Years ,Male ,Student ,"Above ₹75,000 ",3,Developed,Independent House ,5-10 Years ,Quality of schools/educational institutions ,Personal Vehicle (Bike),10-15 minutes ,1-5 km ,1-2 trips ,Education,"Travel time, Convenience , Availability of options, Safety "
181,36-45 Years ,Female ,Student ,"₹30,001 - ₹50,000 ",5,Developed,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Access to public transportation , Quality of schools/educational institutions , Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,4-5 trips ,Education,"Travel time, Availability of options, Environmental impact , Availability of Parking , Safety "
182,26-35 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",6,Developed,Row House ,More than 10 years ,"Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Unavailability of Public Transport , Availability of Parking "
183,36-45 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Apartment/ flat ,More than 10 years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Availability of Parking , Safety "
184,18-25 Years ,Female ,Student ,"₹15,000 - ₹30,000",4,Developed,Apartment/ flat ,5-10 Years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.)",Cycle  ,15-30 minutes,1-5 km ,2-3 trips ,Education,"Cost , Convenience "
185,26-35 Years ,Male ,Business ,"Above ₹75,000 ",4,Developed,Independent House ,5-10 Years ,"Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,10-15 minutes ,1-5 km ,1-2 trips ,Leisure ,"Availability of options, Availability of Parking , Safety , Going to multiple locations in same trip"
186,26-35 Years ,Female ,Employed Full-Time,"₹50,001 - ₹75,000 ",3,Developed,Independent House ,1-3 Years ,"Proximity to workplace , Access to public transportation , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,1-5 km ,1-2 trips ,Shopping ,"Travel time, Convenience , Unavailability of Public Transport , Safety "
187,18-25 Years ,Female ,Student ,"Above ₹75,000 ",4,Developed,Apartment/ flat ,1-3 Years ,"Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,6 or more trips ,Education,Cost 
188,26-35 Years ,Female ,Student ,"Above ₹75,000 ",4,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
189,26-35 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",8,Developed,Apartment/ flat ,Less than 1 year,"Proximity to workplace , Access to public transportation ",Public Transit (City Bus) ,10-15 minutes ,5-10 km,4-5 trips ,Work,Travel time
190,26-35 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience "
191,26-35 Years ,Female ,Homemaker,"Above ₹75,000 ",2,Developed,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,10-15 minutes ,10-15 km ,1-2 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
192,36-45 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",5,Developed,Slum Area ,5-10 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Proximity to family/friends ",Cycle  ,15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
193,36-45 Years ,Female ,Employed Full-Time,"₹30,001 - ₹50,000 ",5,Developed,Independent House ,3-5 Years ,"Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Convenience "
194,46-55 Years ,Male ,Business ,"Above ₹75,000 ",5,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,4-5 trips ,Work,"Travel time, Convenience , Availability of Parking "
195,26-35 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",3,Developed,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
196,26-35 Years ,Female ,Student ,"Above ₹75,000 ",4,Developed,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Availability of Parking "
197,36-45 Years ,Male ,Business ,"Above ₹75,000 ",5,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Personal Vehicle (Bike),30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Convenience "
198,26-35 Years ,Female ,Student ,"₹15,000 - ₹30,000",4,Developed,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,5-10 km,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Availability of Parking , Safety "
199,26-35 Years ,Female ,Employed Part-Time ,"₹30,001 - ₹50,000 ",5,Developed,Apartment/ flat ,3-5 Years ,"Housing affordability , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Convenience "
200,26-35 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",5,Developed,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Environmental impact "
201,26-35 Years ,Female ,Student ,"Above ₹75,000 ",4,Developed,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,4-5 trips ,Work,"Convenience , Availability of options, Unavailability of Public Transport , Environmental impact "
202,36-45 Years ,Female ,Business ,"Above ₹75,000 ",3,Developed,Row House ,5-10 Years ,"Housing affordability , Access to public transportation , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Leisure ,"Cost , Travel time, Convenience , Availability of options"
203,36-45 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Going to multiple locations in same trip"
204,46-55 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",5,Developed,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
205,26-35 Years ,Female ,Student ,"Above ₹75,000 ",6,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,More than 45 minutes ,More than 15 km,4-5 trips ,Work,Availability of options
206,36-45 Years ,Female ,Employed Full-Time,"₹50,001 - ₹75,000 ",5,Developed,Independent House ,3-5 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
207,18-25 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Bike),10-15 minutes ,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
208,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",3,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
209,36-45 Years ,Female ,Student ,"Above ₹75,000 ",6,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
210,36-45 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",5,Developed,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),10-15 minutes ,10-15 km ,2-3 trips ,Work,"Cost , Convenience , Availability of options"
211,26-35 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Developed,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
212,18-25 Years ,Female ,Student ,"Above ₹75,000 ",3,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,4-5 trips ,Education,"Cost , Travel time, Convenience , Availability of options"
213,26-35 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,More than 45 minutes ,More than 15 km,6 or more trips ,Work,"Cost , Travel time, Convenience , Availability of options, Going to multiple locations in same trip"
214,36-45 Years ,Female ,Employed Full-Time,"₹30,001 - ₹50,000 ",5,Developed,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
215,26-35 Years ,Female ,Student ,"Above ₹75,000 ",4,Developed,Row House ,More than 10 years ,"Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,6 or more trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
216,26-35 Years ,Female ,Student ,"Above ₹75,000 ",4,Developed,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Education,"Cost , Travel time, Convenience , Availability of options"
217,36-45 Years ,Male ,Employed Part-Time ,"₹30,001 - ₹50,000 ",5,Developed,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
218,26-35 Years ,Female ,Student ,"Above ₹75,000 ",4,Developed,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Environmental impact , Availability of Parking , Safety , Going to multiple locations in same trip"
219,18-25 Years ,Female ,Student ,"Above ₹75,000 ",4,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,4-5 trips ,Shopping ,"Cost , Travel time, Convenience , Availability of options, Safety "
220,26-35 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",4,Developed,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
221,18-25 Years ,Female ,Student ,"Above ₹75,000 ",4,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Environmental impact "
222,26-35 Years ,Male ,Employed Part-Time ,"₹30,001 - ₹50,000 ",5,Developed,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience "
223,36-45 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",4,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
224,26-35 Years ,Female ,Student ,"Above ₹75,000 ",3,Developed,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
225,65+ Years ,Male ,Business ,"Above ₹75,000 ",5,Developed,Independent House ,More than 10 years ,"Proximity to workplace , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,Convenience 
226,26-35 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Row House ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,6 or more trips ,Work,"Cost , Travel time, Convenience , Availability of options"
227,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",7,Developed,Row House ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
228,26-35 Years ,Female ,Student ,"Above ₹75,000 ",3,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,5-10 km,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Environmental impact "
229,26-35 Years ,Female ,Employed Part-Time ,"₹15,000 - ₹30,000",2,Developed,Independent House ,3-5 Years ,"Proximity to workplace , Housing affordability ",Public Transit (City Bus) ,30-45 minutes,More than 15 km,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
230,56-65 Years ,Male ,Business ,"₹50,001 - ₹75,000 ",5,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
231,26-35 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Public Transit (City Bus) ,30-45 minutes,10-15 km ,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options, Availability of Parking "
232,26-35 Years ,Female ,Student ,"Above ₹75,000 ",3,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,10-15 minutes ,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Unavailability of Public Transport "
233,26-35 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",2,Developed,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
234,26-35 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",3,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Autorickshaw/ Cab ,30-45 minutes,More than 15 km,4-5 trips ,Work,"Availability of options, Unavailability of Public Transport "
235,26-35 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",3,Developed,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Environmental impact "
236,65+ Years ,Female ,Retired ,"Above ₹75,000 ",3,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,More than 45 minutes ,More than 15 km,6 or more trips ,Health,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
237,56-65 Years ,Male ,Employed Full-Time,"₹30,001 - ₹50,000 ",4,Developed,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Bike),More than 45 minutes ,5-10 km,2-3 trips ,Work,"Cost , Convenience , Availability of options"
238,46-55 Years ,Female ,Employed Full-Time,"₹30,001 - ₹50,000 ",3,Developed,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,10-15 minutes ,1-5 km ,1-2 trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Environmental impact , Availability of Parking , Safety , Going to multiple locations in same trip"
239,18-25 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",8,Developed,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,4-5 trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
240,46-55 Years ,Male ,Business ,"Above ₹75,000 ",5,Developed,Row House ,3-5 Years ,"Proximity to workplace , Access to public transportation , Proximity to family/friends ",Personal Vehicle (Car) ,10-15 minutes ,10-15 km ,1-2 trips ,Work,"Travel time, Convenience , Safety "
241,18-25 Years ,Female ,Student ,"Above ₹75,000 ",6,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,1-2 trips ,Leisure ,"Travel time, Availability of options, Safety "
242,18-25 Years ,Male ,Student ,"Above ₹75,000 ",5,Developed,Row House ,5-10 Years ,"Proximity to workplace , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,1-2 trips ,Education,"Travel time, Convenience "
243,56-65 Years ,Male ,Retired ,"₹50,001 - ₹75,000 ",3,Developed,Independent House ,5-10 Years ,"Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,10-15 minutes ,1-5 km ,1-2 trips ,Work,"Travel time, Availability of Parking , Safety "
244,26-35 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",3,Developed,Apartment/ flat ,Less than 1 year,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),More than 45 minutes ,More than 15 km,6 or more trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Environmental impact , Availability of Parking , Safety , Going to multiple locations in same trip"
245,36-45 Years ,Male ,Employed Part-Time ,"₹30,001 - ₹50,000 ",4,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking , Safety "
246,46-55 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",13,Developed,Independent House ,More than 10 years ,Neighborhood safety ,Personal Vehicle (Car) ,10-15 minutes ,10-15 km ,6 or more trips ,Work,Convenience 
247,26-35 Years ,Female ,Employed Full-Time,"₹50,001 - ₹75,000 ",5,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,More than 45 minutes ,More than 15 km,1-2 trips ,Work,"Travel time, Convenience , Unavailability of Public Transport , Availability of Parking , Safety "
248,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Developed,Independent House ,5-10 Years ,"Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,More than 15 km,2-3 trips ,Work,"Cost , Convenience , Availability of Parking , Safety "
249,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Developed,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Convenience , Unavailability of Public Transport , Availability of Parking , Safety "
250,65+ Years ,Male ,Retired ,"₹50,001 - ₹75,000 ",3,Developed,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,10-15 minutes ,10-15 km ,1-2 trips ,Work,"Cost , Convenience , Unavailability of Public Transport , Availability of Parking , Safety "
251,18-25 Years ,Female ,Student ,"Above ₹75,000 ",9,Developed,Independent House ,5-10 Years ,"Proximity to family/friends , Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,1-2 trips ,Education,Unavailability of Public Transport 
252,26-35 Years ,Female ,Student ,"Above ₹75,000 ",4,Developed,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),10-15 minutes ,5-10 km,2-3 trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
253,46-55 Years ,Male ,Retired ,"Above ₹75,000 ",3,Developed,Independent House ,5-10 Years ,"Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,More than 45 minutes ,More than 15 km,2-3 trips ,Work,"Cost , Convenience , Availability of Parking , Safety , Going to multiple locations in same trip"
254,36-45 Years ,Female ,Retired ,"₹50,001 - ₹75,000 ",4,Developed,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Proximity to family/friends , Environmental quality (air quality, noise levels) ",Walking,15-30 minutes,10-15 km ,1-2 trips ,Work,"Cost , Convenience , Unavailability of Public Transport , Availability of Parking , Safety "
